header,section
Student Name,Section A: Information/Eligibility
Date of Birth,Section A: Information/Eligibility
Original SpEd Entry Date,Section A: Information/Eligibility
Next Annual IEP,Section A: Information/Eligibility
Last Eval,Section A: Information/Eligibility
Next Eval,Section A: Information/Eligibility
"Meeting Type: Initial, Annual, Triennial",Section A: Information/Eligibility
"Additional Purpose of Meeting (If Needed): Transition, Pre-Expulsion, Interim, Other",Section A: Information/Eligibility
Age,Section A: Information/Eligibility
Gender,Section A: Information/Eligibility
Grade,Section A: Information/Eligibility
"Migrant: Yes, No",Section A: Information/Eligibility
Native Language,Section A: Information/Eligibility
"English Learner: Yes, No",Section A: Information/Eligibility
"Redesignated: Standard Reclassification, Individualized Reclassification",Section A: Information/Eligibility
"Interpreter: Yes, No",Section A: Information/Eligibility
Student ID,Section A: Information/Eligibility
Social Security Number (SSN),Section A: Information/Eligibility
Statewide Student ID (SSID),Section A: Information/Eligibility
Residency,Section A: Information/Eligibility
Parent/Guardian,Section A: Information/Eligibility
District of Residence,Section A: Information/Eligibility
Residence School,Section A: Information/Eligibility
Ethnicity,Section A: Information/Eligibility
Race,Section A: Information/Eligibility
"Indicate Disabilities: Primary, Secondary, *Low Incidence Disability, Not Eligible for Special Education, Exiting from Special Education",Section A: Information/Eligibility
"Describe How Student's Disability Affects Involvement and Progress in General Curriculum (Or for Preschoolers, Participation in Appropriate Activities)",Section A: Information/Eligibility
Strengths/Preferences/Interests,Section B: Present Levels of Academic Achievement and Functional Performance
Parent Input and Concerns Relevant to Educational Progress,Section B: Present Levels of Academic Achievement and Functional Performance
Smarter Balanced Assessment Consortium (SBAC): Not Applicable,Section B: Present Levels of Academic Achievement and Functional Performance
"English/Language Arts Overall: Standard Exceeded, Met, Nearly Met, Not Met",Section B: Present Levels of Academic Achievement and Functional Performance
"Math Overall: Standard Exceeded, Met, Nearly Met, Not Met",Section B: Present Levels of Academic Achievement and Functional Performance
California Alternate Assessments (CAA): Not Applicable,Section B: Present Levels of Academic Achievement and Functional Performance
"English Language Arts: Understanding, Foundational Understanding, Limited Understanding",Section B: Present Levels of Academic Achievement and Functional Performance
"Math: Understanding, Foundational Understanding, Limited Understanding",Section B: Present Levels of Academic Achievement and Functional Performance
"Science: Understanding, Foundational Understanding, Limited Understanding",Section B: Present Levels of Academic Achievement and Functional Performance
English Language Development Test (English Learners Only): Not Applicable,Section B: Present Levels of Academic Achievement and Functional Performance
English Language Proficiency Assessments of California (ELPAC),Section B: Present Levels of Academic Achievement and Functional Performance
"Initial ELPAC: Overall Score, Oral Language Score/Level, Written Language Score/Level",Section B: Present Levels of Academic Achievement and Functional Performance
"Summative ELPAC: Overall Score, Oral Language Score/Level, Written Language Score/Level",Section B: Present Levels of Academic Achievement and Functional Performance
"Scores by Domain: Listening, Speaking, Reading, Writing",Section B: Present Levels of Academic Achievement and Functional Performance
"Performance by Domain: Listening, Speaking, Reading, Writing",Section B: Present Levels of Academic Achievement and Functional Performance
"Alternate English Language Proficiency Assessments for California (Alternate ELPAC): Initial Alternate ELPAC, Summative Alternate ELPAC",Section B: Present Levels of Academic Achievement and Functional Performance
Physical Education Testing,Section B: Present Levels of Academic Achievement and Functional Performance
"Other Assessment Data: Curriculum Assessment, Other District Assessment, etc.",Section B: Present Levels of Academic Achievement and Functional Performance
"Hearing Date: Pass, Fail, Other",Section B: Present Levels of Academic Achievement and Functional Performance
"Near Vision Date: Pass, Fail, Other",Section B: Present Levels of Academic Achievement and Functional Performance
"Distance Vision Date: Pass, Fail, Other",Section B: Present Levels of Academic Achievement and Functional Performance
"Preacademic/Academic/Functional Skills: ELA, Math",Section B: Present Levels of Academic Achievement and Functional Performance
"Communication Development: Date: 8/29/23, Progress on Goals, Recommendations",Section B: Present Levels of Academic Achievement and Functional Performance
Gross/Fine Motor Development: Occupational Therapy Update Date: 8/28/2023,Section B: Present Levels of Academic Achievement and Functional Performance
