header,section,header_id,section_id,content,section_es,content_es,src_url,kb_url,kb_url_es,header_es
Student Name,Section A: Information/Eligibility,student_name,A,"Individualized Education Plans (IEPs) are plans made for students with special needs. The plan includes details about the student, like their name, age, and disability. It also lists the services the student receives and any areas they may struggle in. The IEP helps teachers and parents work together to support the student's learning.",Sección A: Información/Elegibilidad,"Los planes educativos individualizados (IEP) son planes diseñados para estudiantes con necesidades especiales. El plan incluye detalles sobre el estudiante, como su nombre, edad y discapacidad. También enumera los servicios que recibe el estudiante y las áreas en las que puede tener dificultades. El IEP ayuda a los maestros y a los padres a trabajar juntos para apoyar el aprendizaje del estudiante.",https://rcselpa.org/uploads/files/files/IEP%20Manual%2007-22.pdf#page=135,https://iep-kb-24839890c1f5.herokuapp.com/kb/A/student_name,https://iep-kb-24839890c1f5.herokuapp.com/es/kb/A/student_name,Nombre del estudiante
Date of Birth,Section A: Information/Eligibility,date_of_birth,A,"Date of Birth is the exact day, month, and year when someone was born. It's important to know this information for the student's records and to create Individualized Education Plans.",Sección A: Información/Elegibilidad,"La fecha de nacimiento es el día, mes y año exactos en que nació una persona. Es importante conocer esta información para el registro del estudiante y para crear planes educativos individualizados.",https://rcselpa.org/uploads/files/files/IEP%20Manual%2007-22.pdf#page=74,https://iep-kb-24839890c1f5.herokuapp.com/kb/A/date_of_birth,https://iep-kb-24839890c1f5.herokuapp.com/es/kb/A/date_of_birth,Fecha de nacimiento
Original SpEd Entry Date,Section A: Information/Eligibility,original_sped_entry_date,A,"The Original SpEd Entry Date is the date when the school team and parent agreed that the student should get special education services officially. This date is very important and will never change, even if the student leaves and then comes back to receive special education again. It's the starting point for the student's special education journey and stays the same no matter what happens. This date can be found in the student's record and should be when the parent agrees to the Individualized Education Plan (IEP) for the first time.",Sección A: Información/Elegibilidad,"La fecha original de ingreso al SPed es la fecha en que el equipo de la escuela y los padres acordaron que el estudiante debería recibir oficialmente los servicios de educación especial. Esta fecha es muy importante y nunca cambiará, incluso si el estudiante se va y luego regresa para recibir educación especial nuevamente. Es el punto de partida del viaje de educación especial del estudiante y permanece igual pase lo que pase. Esta fecha se puede encontrar en el expediente del estudiante y debe ser la fecha en la que los padres acepten el Plan de Educación Individualizado (IEP) por primera vez.",https://seisprodtableswest.blob.core.windows.net/trainingmanual-storage/2416f43c-e7b7-4e28-a796-6b9789828c18.pdf#page=31,https://iep-kb-24839890c1f5.herokuapp.com/kb/A/original_sped_entry_date,https://iep-kb-24839890c1f5.herokuapp.com/es/kb/A/original_sped_entry_date,Fecha de entrada original de SpeD
Next Annual IEP,Section A: Information/Eligibility,next_annual_iep,A,"The ""Next Annual IEP"" refers to a meeting that happens once a year to look at your child's progress in school and make any changes to their education plan if needed. If you or the teacher feel that your child isn't learning well or reaching their goals, you can request a meeting to update the IEP. You can send a written request to the school, and they must have the meeting within 30 days.

During this meeting, you'll review your child's current performance, set new goals, make any necessary changes to their learning environment, and plan for the upcoming year. It's important to work together with the school to create a plan that best supports your child's needs.",Sección A: Información/Elegibilidad,"El «próximo IEP anual» se refiere a una reunión que se celebra una vez al año para analizar el progreso de su hijo en la escuela y hacer cualquier cambio en su plan educativo si es necesario. Si usted o el maestro consideran que su hijo no está aprendiendo bien o no está alcanzando sus metas, pueden solicitar una reunión para actualizar el IEP. Puedes enviar una solicitud por escrito a la escuela y la escuela debe tener la reunión en un plazo de 30 días.

Durante esta reunión, revisará el desempeño actual de su hijo, establecerá nuevas metas, realizará los cambios necesarios en su entorno de aprendizaje y planificará para el próximo año. Es importante trabajar junto con la escuela para crear el plan que mejor se adapte a las necesidades de su hijo.",https://rcselpa.org/uploads/files/files/IEP%20Manual%2007-22.pdf#page=16,https://iep-kb-24839890c1f5.herokuapp.com/kb/A/next_annual_iep,https://iep-kb-24839890c1f5.herokuapp.com/es/kb/A/next_annual_iep,Próximo IEP anual
Last Eval,Section A: Information/Eligibility,last_eval,A,"The ""Last Eval"" field in an Individualized Education Plan (IEP) is the date of the most recent assessment done to decide if a student still needs special education services. This date helps track when the next assessment is due, usually every three years, to see if the student still qualifies for these services. It is important to keep this date accurate to ensure the student's needs are being met.",Sección A: Información/Elegibilidad,"El campo «Última evaluación» de un plan educativo individualizado (IEP) es la fecha de la evaluación más reciente realizada para decidir si un estudiante aún necesita servicios de educación especial. Esta fecha ayuda a determinar cuándo debe realizarse la próxima evaluación, por lo general cada tres años, para determinar si el estudiante aún reúne los requisitos para recibir estos servicios. Es importante mantener esta fecha exacta para garantizar que se satisfagan las necesidades del estudiante.",https://rcselpa.org/uploads/files/files/IEP%20Manual%2007-22.pdf#page=111,https://iep-kb-24839890c1f5.herokuapp.com/kb/A/last_eval,https://iep-kb-24839890c1f5.herokuapp.com/es/kb/A/last_eval,Última evaluación
Next Eval,Section A: Information/Eligibility,next_eval,A,"The ""Next Eval"" is when the school team decides if your child needs more testing to help create their Individualized Education Plan (IEP). This evaluation is done every three years. The school checks if they have looked at all the information they have about your child, like test results and teacher observations. If they think more testing is needed, they will do specific assessments. If no more testing is needed, they will explain why. It's important for you to be part of this decision-making process, but your signature is not required.",Sección A: Información/Elegibilidad,"La «próxima evaluación» es cuando el equipo escolar decide si su hijo necesita más pruebas para ayudar a crear su Plan de Educación Individualizado (IEP). Esta evaluación se hace cada tres años. La escuela comprueba si ha analizado toda la información que tiene sobre su hijo, como los resultados de las pruebas y las observaciones del maestro. Si creen que se necesitan más pruebas, realizarán evaluaciones específicas. Si no es necesario realizar más pruebas, le explicarán por qué. Es importante que participe en este proceso de toma de decisiones, pero no se requiere su firma.",https://rcselpa.org/uploads/files/files/IEP%20Manual%2007-22.pdf#page=111,https://iep-kb-24839890c1f5.herokuapp.com/kb/A/next_eval,https://iep-kb-24839890c1f5.herokuapp.com/es/kb/A/next_eval,Próxima evaluación
"Meeting Type: Initial, Annual, Triennial",Section A: Information/Eligibility,"meeting_type:_initial,_annual,_triennial",A,"When it comes to meetings for your child's Individualized Education Plan (IEP), there are three main types: Initial, Annual, and Triennial.

- Initial IEP: This is the first meeting to create a plan for your child if they are newly identified as needing special education services.
- Annual IEP: This meeting is held each year to review your child's progress and set new goals for the upcoming year.
- Triennial IEP: This meeting happens every three years to evaluate your child's overall progress and update the plan as needed based on assessment results.

Additionally, there are other types of meetings that may be needed depending on your child's situation, such as Transition Planning, Manifestation Determination, or Interim meetings if your child changes schools.

Each type of meeting serves a specific purpose in ensuring your child is receiving the appropriate support and services they need to succeed in their education.",Sección A: Información/Elegibilidad,"Cuando se trata de las reuniones del Plan Educativo Individualizado (IEP) de su hijo, hay tres tipos principales: inicial, anual y trienal.

- IEP inicial: esta es la primera reunión en la que se crea un plan para su hijo en caso de que se identifique recientemente que necesita servicios de educación especial.
- IEP anual: Esta reunión se lleva a cabo cada año para revisar el progreso de su hijo y establecer nuevas metas para el próximo año.
- IEP trienal: esta reunión se celebra cada tres años para evaluar el progreso general de su hijo y actualizar el plan según sea necesario en función de los resultados de la evaluación.

Además, hay otros tipos de reuniones que pueden ser necesarias según la situación de su hijo, como la planificación de la transición, la determinación de la manifestación o las reuniones provisionales si su hijo cambia de escuela.

Cada tipo de reunión tiene un propósito específico: garantizar que su hijo reciba el apoyo y los servicios adecuados que necesita para tener éxito en su educación.",https://rcselpa.org/uploads/files/files/IEP%20Manual%2007-22.pdf#page=87,"https://iep-kb-24839890c1f5.herokuapp.com/kb/A/meeting_type:_initial,_annual,_triennial","https://iep-kb-24839890c1f5.herokuapp.com/es/kb/A/meeting_type:_initial,_annual,_triennial","Tipo de reunión: inicial, anual, trienal"
"Additional Purpose of Meeting (If Needed): Transition, Pre-Expulsion, Interim, Other",Section A: Information/Eligibility,"additional_purpose_of_meeting_:_transition,_pre-expulsion,_interim,_other",A,"The ""Additional Purpose of Meeting (If Needed)"" section is asking for any extra reasons why you may be having a meeting about your child's education plan. Some possible reasons could include Transition Planning (talking about moving from one grade to another), Interim (a review when your child changes schools), or Possible Change of Placement/Services (discussing potential changes to the help your child gets at school). You can choose the option that best fits why you need to have this meeting about your child's education plan.",Sección A: Información/Elegibilidad,"La sección «Propósito adicional de la reunión (si es necesario)» solicita cualquier motivo adicional por el que podría tener una reunión sobre el plan educativo de su hijo. Algunos motivos posibles podrían ser la planificación de la transición (hablar sobre la posibilidad de pasar de un grado a otro), la transición provisional (una revisión cuando su hijo cambia de escuela) o el posible cambio de ubicación o de servicios (analizar los posibles cambios en la ayuda que su hijo reciba en la escuela). Puede elegir la opción que mejor se adapte a los motivos por los que necesita celebrar esta reunión sobre el plan educativo de su hijo.",https://rcselpa.org/uploads/files/files/IEP%20Manual%2007-22.pdf#page=11,"https://iep-kb-24839890c1f5.herokuapp.com/kb/A/additional_purpose_of_meeting_:_transition,_pre-expulsion,_interim,_other","https://iep-kb-24839890c1f5.herokuapp.com/es/kb/A/additional_purpose_of_meeting_:_transition,_pre-expulsion,_interim,_other","Propósito adicional de la reunión (si es necesario): transición, preexpulsión, provisional, otro"
Age,Section A: Information/Eligibility,age,A,Sure! Age refers to how many years old a person is. It's important to know a student's age for things like making a plan for their education called an IEP. A student's age helps the school team understand what skills the student needs to learn and how to help them.,Sección A: Información/Elegibilidad,"¡Claro! La edad se refiere a cuántos años tiene una persona. Es importante conocer la edad del estudiante para, por ejemplo, elaborar un plan para su educación llamado IEP. La edad del estudiante ayuda al equipo escolar a entender qué habilidades necesita aprender y cómo ayudarlo.",https://rcselpa.org/uploads/files/files/IEP%20Manual%2007-22.pdf#page=15,https://iep-kb-24839890c1f5.herokuapp.com/kb/A/age,https://iep-kb-24839890c1f5.herokuapp.com/es/kb/A/age,Edad
Gender,Section A: Information/Eligibility,gender,A,"Gender refers to whether a person is a boy or a girl. It's important to talk about any specific needs or things your child wants to do to promote their physical and mental health. In the context of education, understanding gender can help teachers and parents plan the best educational experience for your child.",Sección A: Información/Elegibilidad,"El género se refiere a si una persona es un niño o una niña. Es importante hablar sobre cualquier necesidad o cosa específica que su hijo quiera hacer para promover su salud física y mental. En el contexto de la educación, entender el género puede ayudar a los maestros y a los padres a planificar la mejor experiencia educativa para su hijo.",https://drive.google.com/file/d/1au51uKAY-6t1Sabx47W3eCJkBBDn10ns/view#page=33,https://iep-kb-24839890c1f5.herokuapp.com/kb/A/gender,https://iep-kb-24839890c1f5.herokuapp.com/es/kb/A/gender,Género
